,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
38,6,1140000,281,0.0,-263.74013,-1724.38249,-396.2787,-374.90019,-354.07885,-300.01391,-270.49632,-214.89671,-174.13026,-152.05965,-121.97526,-97.5836,-47.31359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,6,1140000,285,0.0,-34.44282,-161.21098,16.37992,-7.49649,-7.87475,-7.90816,-6.89692,-5.27473,-4.62214,-2.89025,-0.92513,-1.31452,-0.94305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,6,1140000,290,0.0,-481.88427,-3511.57021,-2801.67501,-118.86302,-493.35987,-262.06092,-202.24293,-371.4857,-290.91065,-251.89936,-272.15585,-215.74152,-151.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,6,1140000,176,0.0,-258.18587,-1056.7325,-417.65418,-250.24233,-121.55603,-112.2533,-117.08677,-117.08677,-85.39797,-98.8636,-82.17669,-56.07956,-7.66387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,6,1140000,304,0.0,-237.8805,-693.30601,-370.01196,-136.77201,-167.68768,-115.67591,-115.56585,-85.02107,-80.95849,-58.51975,-54.59795,-32.86598,-12.58412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6,1140000,178,0.0,-137.07784,-35.79432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,6,1140000,305,0.0,-145.95924,-12.41128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,6,1140000,190,0.0,-53.20239,-351.41228,-84.03442,-61.85887,-49.492,-45.02614,-15.27937,-33.40826,-28.95241,-20.13204,-17.07403,-17.20167,-11.27363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,6,1140000,169,0.0,-339.5,-2642.19161,-714.44274,-636.40336,-503.09387,-451.41303,-257.52302,-204.74531,-192.32787,-168.33303,-153.61754,-105.03459,-78.44655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,6,1140000,172,0.0,-311.78605,-960.05423,-405.3011,-326.05963,-9.05788,-8.82016,-98.46711,-121.58653,-121.58653,-113.24466,-119.88463,-109.13348,-50.15468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
